SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,Gender,GenderConsistency,Feedback
299873,A2YC6PEMIRSOAA,3E13VNJ1NOHMSBJ9YOXO918FBVHI17,2017,6/10/2021 4:46:47 PM,6/10/2021 5:20:24 PM,Approved,7.00,5.24,0.700000,,,Female,100.00%,
299873,A2CUAZD7OJDFYR,3D4CH1LGEBFQLPG9CDCE3VDIUUDG9M,2026,6/10/2021 4:46:49 PM,6/10/2021 5:20:35 PM,Approved,7.00,5.09,0.700000,,,Female,100.00%,
299873,A3CH1Z6J9R38G9,3DZQRBDBSM17WS0KQ45L1WTZIDXS31,2123,6/10/2021 4:46:47 PM,6/10/2021 5:22:10 PM,Approved,7.00,6.63,0.700000,,,,,
299873,A3BU8UL4W258UU,35L9RVQFCP425DZNUUPNKRCXMF0HUD,2200,6/10/2021 4:46:58 PM,6/10/2021 5:23:38 PM,Approved,7.00,7.46,0.700000,,,Male,100.00%,
299873,ANFWGSQ8BQRZ,3EQHHY4HQTE7K2EX9NZXRF8G8YUG5V,2310,6/10/2021 4:51:59 PM,6/10/2021 5:30:29 PM,Approved,7.00,4.15,0.700000,,,Male,100.00%,
299873,A7ERZELTAMWL5,338JKRMM27LIQ4LPOP8WKQ03FC8AHU,2659,6/10/2021 4:46:47 PM,6/10/2021 5:31:06 PM,Approved,7.00,5.69,0.700000,,,Male,100.00%,
299873,AEWPAZBYA7XE,37Q970SNZFUBMPM530R2D3E2KTJS19,2986,6/10/2021 4:46:46 PM,6/10/2021 5:36:32 PM,Approved,7.00,7.20,0.700000,,,Male,100.00%,
299873,AK1Q45RF8A87Z,351SEKWQS132GPPCZWFB2WG5H14DM8,3281,6/10/2021 4:48:51 PM,6/10/2021 5:43:32 PM,Approved,7.00,4.89,0.700000,,,Female,100.00%,
299873,A1C5SQZ045W0L5,32RIADZISTQSEOJOQIA4B1L5WDTS4M,2380,6/10/2021 5:04:01 PM,6/10/2021 5:43:41 PM,Approved,7.00,5.46,0.700000,,,Male,100.00%,
299873,A2BK9RMC0NOIH8,3F6KKYWMNCN8Y7ACBXUBFB55MREDN8,3430,6/10/2021 4:46:45 PM,6/10/2021 5:43:55 PM,Approved,7.00,7.07,0.700000,,,Male,100.00%,
