SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,Gender,GenderConsistency,Feedback
292905,A19WXS1CLVLEEX,39U1BHVTDMD8BSDZF4ABB1PLHHZ3TS,1762,5/6/2021 2:50:53 PM,5/6/2021 3:20:15 PM,Approved,7.00,6.26,0.700000,,,,,
292905,A2IQ0QCTQ3KWLT,3DH6GAKTYZB5D7JMAHSJNJMFBEFYZ8,1745,5/6/2021 2:53:41 PM,5/6/2021 3:22:46 PM,Approved,7.00,6.35,0.700000,,,Female,100.00 %,
292905,A1T3ROSW2LC4FG,35L9RVQFCP425DZNUUPNKRCXJ0NUHG,1951,5/6/2021 2:50:19 PM,5/6/2021 3:22:50 PM,Approved,7.00,6.43,0.700000,,,Female,100.00 %,
292905,A19TD2J8506A4Y,3VELCLL3GL52IKHJXGR364VNSOD1FQ,2026,5/6/2021 2:50:40 PM,5/6/2021 3:24:26 PM,Approved,7.00,5.41,0.700000,,,,,
292905,AZNIEFUIVB2H0,3ZWFC4W1UVTQBPG0VA6ICVD0WM6RFB,2058,5/6/2021 2:50:47 PM,5/6/2021 3:25:05 PM,Approved,7.00,5.06,0.700000,,,Male,100.00 %,
292905,AJQ71YIGY01HZ,3COPXFW7XCYGFYSZJTTQND5Q30ZPKJ,3352,5/6/2021 2:50:19 PM,5/6/2021 3:46:11 PM,Approved,7.00,5.72,0.700000,,,Female,100.00 %,
292905,A2196WCNDZULFS,3Z7ISHFUH1HQY1S4XDUPO6YDIZCZ8V,4958,5/6/2021 2:50:18 PM,5/6/2021 4:12:56 PM,Approved,7.00,6.22,0.700000,,,Female,100.00 %,
292905,A1BFA82J9Q1CLA,374TNBHA8CHWZFIVNL96WQAB6BYYQI,1865,5/6/2021 3:46:19 PM,5/6/2021 4:17:24 PM,Approved,7.00,4.89,0.700000,,,Male,100.00 %,
292905,A24Z9RP5YZZ2TY,3RXPCZQMQQX8WKDE80XLOPVZT3D1GP,5442,5/6/2021 2:51:11 PM,5/6/2021 4:21:53 PM,Approved,7.00,6.70,0.700000,,,Male,100.00 %,
292905,A348NEQKS6VNIB,3YMU66OBIOUJ0VYSAP06GCB6AS8HG3,5797,5/6/2021 2:50:19 PM,5/6/2021 4:26:56 PM,Approved,7.00,5.59,0.700000,,,Female,100.00 %,
292905,A37S96RT1P1IT2,3ZV9H2YQQET039HTA9FMYLWKLBH3WI,2476,5/6/2021 3:45:47 PM,5/6/2021 4:27:03 PM,Approved,7.00,5.37,0.700000,,,Female,100.00 %,
292905,AOS2PVHT2HYTL,3B1NLC6UG0IBDCWGT28BPLDXWJIPGG,5676,5/6/2021 2:53:13 PM,5/6/2021 4:27:49 PM,Approved,7.00,5.46,0.700000,,,Female,100.00 %,
292905,A1SOFLJOEQB591,3VP0C6EFSHI3VGAXP97XWQ6DX056M0,5890,5/6/2021 2:50:20 PM,5/6/2021 4:28:30 PM,Approved,7.00,4.74,0.700000,,,Male,100.00 %,
